"","NameScientific","TaxonRank","Origin","Phyla","Class","Order","Family","Genus"
"1","<i>?Agropogon</i> P.Fourn., <i>Monde Pl.</i> 36: 20 (1835)","genus","Exotic","Tracheophyta","Magnoliopsida","Poales","Gramineae","?Agropogon"
"2","<i>?Agropogon littoralis</i> (Sm.) C.E.Hubb. (1946)","species","Exotic","Tracheophyta","Magnoliopsida","Poales","Gramineae","?Agropogon"
"3","<i>?Amarcrinum</i> Coutts (1925)","genus","Exotic","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"4","<i>?Amarcrinum howardii</i> Coutts (1925)","species","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"5","<i>?Amarcrinum memoria-corsii</i> (Ragion.) H.E.Moore (1975)","species","Exotic","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"6","<i>?Carmispartium</i> M.D.Griffiths, <i>Plantsman</i> 13: 244 (1992)","genus","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Carmichaelia"
"7","<i>?Carpophyma</i> G.D.Rowley, <i>Name Succ.</i> 199 (1980)","genus","Non-endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"8","<i>?Carpophyma mutabilis</i> Heenan & Sykes, <i>New Zealand J. Bot.</i> 48: 226 (2010)","species","Endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"9","<i>?Carpophyma pallida</i> Sykes & Heenan, <i>New Zealand J. Bot.</i> 48: 227 (2010)","species","Endemic","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","?Carpophyma"
"10","<i>?Celmearia</i> Heenan, <i>Hort. N.Z.</i> 4: 2-3 (1993)","genus","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","?Celmearia"
"11","<i>?Celmearia ruawahia</i> Heenan, <i>Hort. N.Z.</i> 4: 2-3 (1993)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","?Celmearia"
"12","<i>?Crinodonna</i> Stapf.","genus","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"13","<i>?Crinodonna memoria-corsii</i> Ragion.","species","","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","?Amarcrinum"
"14","<i>?Cupressocyparis</i> Dallim. (1938)","genus","","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus"
"15","<i>?Cuprocyparis</i> Farjon, <i>Novon</i> 12 (2002)","genus","","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus"
"16","<i>?Festulolium holmbergii</i> (D?rfl.) P.Fourn.","species","","Tracheophyta","Magnoliopsida","Poales","Gramineae","Lolium"
"17","<i>?Graptosedum</i> G.D.Rowley, <i>Name Succ.</i> 153 (1980)","genus","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptosedum"
"18","<i>?Graptosedum</i> 'Francesco Baldi'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptosedum"
"19","<i>?Graptoveria</i> G.D.Rowley, <i>Natl. Cact. Succ. J.</i> 13: 75 (1958)","genus","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
"20","<i>?Graptoveria</i> 'Acaulis'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
"21","<i>?Graptoveria</i> 'Titubans'","cv","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Graptoveria"
"22","<i>?Schedolium holmbergii</i> (D?rfl.) Holub, <i>Preslia</i> 79: 112 (1998)","species","","Tracheophyta","Magnoliopsida","Poales","Gramineae","Lolium"
"23","<i>?Schedololium holmbergii</i> (D?rfl.) Soreng & Terrell, <i>Phytologia</i> 83: 87 (1998)","species","","Tracheophyta","Magnoliopsida","Poales","Gramineae","Lolium"
"24","<i>?Sedadia</i> Moran, <i>Baileya</i> 19: 147 (1975)","genus","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Sedadia"
"25","<i>?Sedadia amecamecana</i> (Praeger) Moran","species","Exotic","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","?Sedadia"
"26","<i>Abelia</i> R.Br. in Abel, <i>Narr. Journey China</i> 376 (1818)","genus","","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Linnaea"
"27","<i>Abelia ?grandiflora</i> (Andr?) Rehder","species","","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Linnaea"
"28","<i>Abelia rupestris</i> f. <i>grandiflora</i> Andr? (1886)","f.","","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Linnaea"
"29","<i>Abies</i> Mill., <i>Gard. Dict., ed. 4,</i> (1754)","genus","Exotic","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"30","<i>Abies alba</i> Mill.","species","Exotic","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"31","<i>Abies grandis</i> (Douglas ex D.Don) Lindl.","species","Exotic","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"32","<i>Abies menziesii</i> Mirb. (1825)","species","","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pseudotsuga"
"33","<i>Abies nordmanniana</i> (Steven) Spach (1841)","species","Exotic","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"34","<i>Abies pinsapo</i> Boiss. (1838)","species","Exotic","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"35","<i>Abrotanella</i> (Gaudich.) Cass., <i>Dict. Sci. Nat.</i> 36: 27 (1825)","genus","Non-endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"36","<i>Abrotanella caespitosa</i> Petrie ex Kirk, <i>Trans. New Zealand Inst.</i> 24: 420 (1892)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"37","<i>Abrotanella christensenii</i> Petrie, <i>Trans. & Proc. New Zealand Inst.</i> 47: 51 (1915)","species","","Tracheophyta","Magnoliopsida","Asterales","Compositae","Solenogyne"
"38","<i>Abrotanella fertilis</i> Swenson, <i>Pl. Syst. Evol.</i> 197: 181 (1995)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"39","<i>Abrotanella filiformis</i> Petrie, <i>Trans. & Proc. New Zealand Inst.</i> 47: 51 (1915)","species","","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"40","<i>Abrotanella inconspicua</i> Hook.f., <i>Handb. New Zealand Fl.</i> 140 (1864)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"41","<i>Abrotanella linearis</i> Berggr., <i>Minneskrift Fysiografiska Sallskapets i Lund</i> 8: 14, t.3, fig.28-38 (1878)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"42","<i>Abrotanella linearis</i> var. <i>apiculata</i> G.Simpson & J.S.Thomson, <i>Trans. & Proc. Roy. Soc. New Zealand</i> 73: 170 (1943)","var.","","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"43","<i>Abrotanella muscosa</i> Kirk, <i>Trans. New Zealand Inst.</i> 24: 422, t.36 (1892)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"44","<i>Abrotanella patearoa</i> Heads, <i>Biol. J. Linn. Soc.</i> 67: 422-424, 432 Fig 19 (1999)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"45","<i>Abrotanella pusilla</i> (Hook.f.) Hook.f., <i>Handb. New Zealand Fl.</i> 139 (1864)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"46","<i>Abrotanella rostrata</i> Swenson, <i>New Zealand J. Bot.</i> 34: 48-50 (1996)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"47","<i>Abrotanella rosulata</i> (Hook.f.) Hook.f., <i>Handb. New Zealand Fl.</i> 139 (1864)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"48","<i>Abrotanella spathulata</i> (Hook.f.) Hook.f., <i>Handb. New Zealand Fl.</i> 139 (1864)","species","Endemic","Tracheophyta","Magnoliopsida","Asterales","Compositae","Abrotanella"
"49","<i>Abutilon</i> Mill., <i>Gard. Dict., ed. 4,</i> (1754)","genus","Exotic","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"50","<i>Abutilon grandifolium</i> (Willd.) Sweet (1828)","species","Exotic","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"51","<i>Abutilon indicum</i> (L.) Sweet (1826)","species","Exotic","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"52","<i>Abutilon megapotamicum</i> (A.Spreng.) A.St.-Hil. & Naudin (1842)","species","Exotic","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"53","<i>Abutilon theophrasti</i> Medik.","species","Exotic","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"54","<i>Acacia</i> Mill., <i>Gard. Dict. Abr., ed. 4. </i> (1754)","genus","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"55","<i>Acacia armata</i> R.Br.","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"56","<i>Acacia baileyana</i> F.Muell., <i>Trans. Roy. Soc. Victoria</i> 24: 168 (1888)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"57","<i>Acacia cyanophylla</i> Lindl.","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"58","<i>Acacia dealbata</i> Link (1822)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"59","<i>Acacia decurrens</i> Willd., <i>Sp. Pl., ed. 4 (2), </i> 1072 (1806)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"60","<i>Acacia elata</i> Benth. (1842)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"61","<i>Acacia fimbriata</i> A.Cunn. ex G.Don. (1832)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"62","<i>Acacia floribunda</i> (Vent.) Willd. (1806)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"63","<i>Acacia glauca</i> Willd.","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Leucaena"
"64","<i>Acacia longifolia</i> (Andrews) Willd. (1806)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"65","<i>Acacia longifolia</i> (Andrews) Willd. (1806) subsp. <i>longifolia</i>","subsp.","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"66","<i>Acacia longifolia</i> subsp. <i>sophorae</i> (Labill.) Court in Orchard & Wilson, <i>Fl. Austral. 11B</i> 491 (2001)","subsp.","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"67","<i>Acacia longissima</i> H.L.Wendl. (1820)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"68","<i>Acacia lophantha</i> Willd. (1806)","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Paraserianthes"
"69","<i>Acacia maidenii</i> F.Muell.","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"70","<i>Acacia mearnsii</i> De Wild. (1925)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"71","<i>Acacia melanoxylon</i> R.Br. (1813)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"72","<i>Acacia paradoxa</i> DC. (1813)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"73","<i>Acacia parramattensis</i> Tindale (1962)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"74","<i>Acacia podalyriifolia</i> G.Don (1832)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"75","<i>Acacia pravissima</i> F.Muell.","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"76","<i>Acacia prominens</i> A.Cunn ex G.Don (1832)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"77","<i>Acacia riceana</i> Hensl. (1839)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"78","<i>Acacia saligna</i> (Labill.) H.L.Wendl.","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"79","<i>Acacia schinoides</i> Benth. (1842)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"80","<i>Acacia selloi</i> Spreng.","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Calliandra"
"81","<i>Acacia sophorae</i> (Labill.) R.Br. (1813)","species","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"82","<i>Acacia stricta</i> (Andrews) Willd. (1806)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"83","<i>Acacia ulicifolia</i> (Salisb.) Court (1957)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"84","<i>Acacia verticillata</i> (L'H?r.) Willd. (1806)","species","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"85","<i>Acacia verticillata</i> subsp. <i>ruscifolia</i> (A.Cunn. ex G.Don) Court in Maslin, <i>Fl. Austral. 11B,</i> 384 (2001)","subsp.","Exotic","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"86","<i>Acacia verticillata</i> var. <i>riceana</i> (Hensl.) L.Neumann (1865)","var.","","Tracheophyta","Magnoliopsida","Fabales","Leguminosae","Acacia"
"87","<i>Acaena</i> Mutis ex L., <i>Mant. Pl.</i> 145, 200 (1771)","genus","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"88","<i>Acaena ?anserovina</i> Orchard, <i>Trans. Roy. Soc. South Australia</i> 93: 104 (1969)","species","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"89","<i>Acaena ?ovina</i> subsp. <i>nanella</i> Bitter","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"90","<i>Acaena agnipila</i> Gand. (1912)","species","Exotic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"91","<i>Acaena agnipila</i> var. <i>aequispina</i> Orchard (1969)","var.","Exotic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"92","<i>Acaena agnipila</i> var. <i>protenta</i> Orchard (1969)","var.","Exotic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"93","<i>Acaena agnipila</i> var. <i>tenuispica</i> (Bitter) Orchard (1969)","var.","Exotic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"94","<i>Acaena anserinifolia</i> (J.R.Forst. & G.Forst.) Druce, <i>Bot. Soc. Exch. Club Brit. Isles</i> Suppl. 2: 484 (1917)","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"95","<i>Acaena anserinifolia</i> (J.R.Forst. & G.Forst.) J.B.Armstr., <i>Trans. & Proc. New Zealand Inst.</i> 12: 338 (1880)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"96","<i>Acaena anserinifolia</i> var. <i>antarctica</i> (Cockayne) Druce, <i>Bot. Soc. Exch. Club Brit. Isles</i> 4 Suppl.: 602 (1917)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"97","<i>Acaena anserinifolia</i> var. <i>paucidens</i> (Bitter) Allan, <i>Fl. New Zealand 1,</i> 362 (1961)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"98","<i>Acaena anserinifolia</i> var. <i>sericeinitens</i> (Bitter) Allan, <i>Fl. New Zealand 1,</i> 361 (1961)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"99","<i>Acaena buchananii</i> Hook.f., <i>Handb. New Zealand Fl.</i> 57 (1864)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"100","<i>Acaena buchananii</i> var. <i>inermis</i> Bitter, <i>Biblioth. Bot.</i> 74: 291 (1911)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"101","<i>Acaena buchananii</i> var. <i>picta</i> Allan, <i>Fl. New Zealand 1,</i> 358 (1961)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"102","<i>Acaena caesiiglauca</i> (Bitter) Bergmans (1939)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"103","<i>Acaena caesiiglauca</i> var. <i>pilosa</i> (Kirk) Allan, <i>Fl. New Zealand 1,</i> 360 (1961)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"104","<i>Acaena depressa</i> Kirk, <i>Trans. & Proc. New Zealand Inst.</i> 9: 548 (1877)","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"105","<i>Acaena dumicola</i> B.H.Macmill., <i>New Zealand J. Bot.</i> 23: 338-340 (1985)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"106","<i>Acaena echinata</i> Nees","species","Exotic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"107","<i>Acaena emittens</i> B.H.Macmill., <i>New Zealand J. Bot.</i> 27: 115-116 (1989)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"108","<i>Acaena fissistipula</i> Bitter, <i>Biblioth. Bot.</i> 74: 247 (1911)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"109","<i>Acaena glabra</i> Buchanan, <i>Trans. & Proc. New Zealand Inst.</i> 4: 226 (1872)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"110","<i>Acaena hirsutula</i> var. <i>glabricupula</i> Bitter (1910)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"111","<i>Acaena huttoni</i> Br.","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sanguisorba"
"112","<i>Acaena inermis</i> Hook.f., <i>Bot. Antarct. Voy. II. (Fl. Nov.-Zel.) Part I,</i> 54 (1852)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"113","<i>Acaena juvenca</i> B.H.Macmill., <i>New Zealand J. Bot.</i> 27: 109-115 (1989)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"114","<i>Acaena macrantha</i> Colenso, <i>Trans. & Proc. New Zealand Inst.</i> 23: 383 (1890 [1891])","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"115","<i>Acaena microphylla</i> Hook.f., <i>Bot. Antarct. Voy. II. (Fl. Nov.-Zel.) Part I,</i> 55 (1852)","species","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"116","<i>Acaena microphylla</i> var. <i>depressa</i> (Kirk) Kirk, <i>Stud. Fl. New Zealand</i> 134 (1899)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"117","<i>Acaena microphylla</i> var. <i>inermis</i> (Hook.f.) Kirk, <i>Stud. Fl. New Zealand</i> 134 (1899)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"118","<i>Acaena microphylla</i> Hook.f., <i>Bot. Antarct. Voy. II. (Fl. Nov.-Zel.) Part I,</i> 55 (1852) var. <i>microphylla</i>","var.","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"119","<i>Acaena microphylla</i> var. <i>pallideolivacea</i> Bitter, <i>Biblioth. Bot.</i> 74: 287 (1911)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"120","<i>Acaena microphylla</i> var. <i>pauciglochidiata</i> Bitter","var.","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"121","<i>Acaena microphylla</i> var. <i>robusta</i> Allan, <i>Fl. New Zealand 1,</i> 357 (1961)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"122","<i>Acaena minor</i> (Hook.f.) Allan, <i>Fl. New Zealand 1,</i> 363 (1961)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"123","<i>Acaena minor</i> var. <i>antarctica</i> (Cockayne) Allan, <i>Fl. New Zealand 1,</i> 363 (1961)","var.","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"124","<i>Acaena minor</i> (Hook.f.) Allan, <i>Fl. New Zealand 1,</i> 363 (1961) var. <i>minor</i>","var.","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"125","<i>Acaena novae-zelandiae</i> Kirk, <i>Trans. & Proc. New Zealand Inst.</i> 3: 177 (1870 [1871])","species","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"126","<i>Acaena novae-zelandiae</i> var. <i>pallida</i> Kirk, <i>Stud. Fl. New Zealand</i> 134 (1899)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"127","<i>Acaena pallida</i> (Kirk) Allan, <i>Fl. New Zealand 1,</i> 360 (1961)","species","Non-endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"128","<i>Acaena profundeincisa</i> (Bitter) B.H.Macmill., <i>New Zealand J. Bot.</i> 21: 347 (1983)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"129","<i>Acaena pusilla</i> (Bitter) Allan, <i>Fl. New Zealand 1,</i> 362 (1961)","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"130","<i>Acaena pusilla</i> var. <i>suprasericascens</i> Bitter, <i>Biblioth. Bot.</i> 74: 272 (1911)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"131","<i>Acaena rorida</i> B.H.Macmill., <i>New Zealand J. Bot.</i> 29: 131 (1991)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"132","<i>Acaena saccaticupula</i> Bitter, <i>Biblioth. Bot.</i> 74: 173 (1911)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"133","<i>Acaena sanguisorbae</i> (L.f.) Vahl, <i>Enumeratio Plantarum Horti Regii Botanici Berolinensis</i> 1: 294 (1805)","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"134","<i>Acaena sanguisorbae</i> subsp. <i>antarctica</i> (Cockayne) Bitter, <i>Feddes Repert. Spec. Nov. Regni Veg.</i> 10: 496 (1912)","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"135","<i>Acaena sanguisorbae</i> subsp. <i>caesiiglauca</i> Bitter, <i>Biblioth. Bot.</i> 74: 269 (1911)","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"136","<i>Acaena sanguisorbae</i> subsp. <i>novae-zelandiae</i> (Kirk) Bitter, <i>Biblioth. Bot.</i> 74: 263 (1911)","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"137","<i>Acaena sanguisorbae</i> subsp. <i>profundeincisa</i> Bitter, <i>Biblioth. Bot.</i> 74: 270 (1911)","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"138","<i>Acaena sanguisorbae</i> subsp. <i>pusilla</i> Bitter, <i>Biblioth. Bot.</i> 74: 271 (1911)","subsp.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"139","<i>Acaena sanguisorbae</i> var. <i>antarctica</i> Cockayne, <i>Trans. & Proc. New Zealand Inst.</i> 36: 319 (1904)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"140","<i>Acaena sanguisorbae</i> var. <i>aucklandica</i> Bitter, <i>Biblioth. Bot.</i> 74: 274 (1911)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"141","<i>Acaena sanguisorbae</i> var. <i>diminuta</i> Bitter, <i>Feddes Repert. Spec. Nov. Regni Veg.</i> 10: 496 (1912)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"142","<i>Acaena sanguisorbae</i> var. <i>minor</i> Hook.f., <i>Bot. Antarct. Voy. I. (Fl. Antarct.) Part I,</i> 9 (1844)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"143","<i>Acaena sanguisorbae</i> var. <i>paucidens</i> Bitter, <i>Feddes Repert. Spec. Nov. Regni Veg.</i> 10: 496 (1912)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"144","<i>Acaena sanguisorbae</i> var. <i>pilosa</i> Kirk, <i>Stud. Fl. New Zealand</i> 133 (1899)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"145","<i>Acaena sanguisorbae</i> var. <i>sericeinitens</i> Bitter, <i>Biblioth. Bot.</i> 74: 271 (1911)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"146","<i>Acaena sanguisorbae</i> var. <i>viridor</i> Cockayne, <i>Trans. New Zealand Inst.</i> 48: 193 (1916)","var.","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"147","<i>Acaena tesca</i> B.H.Macmill., <i>New Zealand J. Bot.</i> 29: 133 (1991)","species","Endemic","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"148","<i>Acaena viridior</i> (Cockayne) Allan, <i>Fl. New Zealand 1,</i> 361 (1961)","species","","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"149","<i>Acalypha</i> L., <i>Sp. Pl.</i> 1003 (1753)","genus","Exotic","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"150","<i>Acalypha amentacea</i> subsp. <i>wilkesiana</i> (M?ll.Arg.) Fosberg (1980)","subsp.","","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"151","<i>Acalypha wilkesiana</i> M?ll.Arg. (1866)","species","Exotic","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"152","<i>Acanthaceae</i>","family","","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae",""
"153","<i>Acanthus</i> L., <i>Sp. Pl.</i> 639 (1753)","genus","Exotic","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus"
"154","<i>Acanthus mollis</i> L.","species","Exotic","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus"
"155","<i>Acca</i> O.Berg., <i>Linnaea</i> 27: 138 (1856)","genus","Exotic","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Acca"
