famille,nom_taxon,Genre,synonyme,remarque
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Pseudolycopodiella serpentina (Kunze) Holub,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Lycopodiella serpentina (Kunze) B.Øllg.,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",Brownseya,Lycopodium serpentinum Kunze,In Chen et al. Taxon https://doi.org/10.1002/tax.12596
Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,Lycopodium serratum Thunb. ex Murray,
Lycopodiaceae P. Beauv. ex Mirb.,Huperzia serrata (Thunb. ex Murray) Rothm.,Huperzia,Urostachys serratus (Thunb. ex Murray) Herter,
Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,Lycopodiella lateralis (R.Br.) B.Øllg.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Lateristachys lateralis (R.Br.) Holub.,Lateristachys,Lycopodium laterale R.Br.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Lycopodium clavatum L.,Lycopodium, ,
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lepidotis cernua (L.) P.Beauv.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lycopodiella cernua (L.) Pic.Serm.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Palhinhaea cernua (L.) Vasc. & Franco,Palhinhaea,Lycopodium cernuum L.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Urostachys balansae Herter ex Ness.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium balansae var. pomperyanus Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium varium sensu ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Huperzia balansae (Herter) Holub,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus balansae (Herter) A.R.Field & Bostock,Phlegmariurus,Lycopodium balansae Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Lycopodium carinatum Desv. ex Poir.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Huperzia carinata (Desv. ex Poir.) Trevis.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus carinatus (Desv. ex Poir.) Ching,Phlegmariurus,Urostachys carinatus (Desv. ex Poir.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Lycopodium verticillatum sensu ,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Huperzia ignambiense (Compton) Holub,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Lycopodium ignambiense Compton,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus ignambiensis (Compton) A.R.Field & Testo,Phlegmariurus,Huperzia ignambiensis (Compton) Holub,
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus myrtifolius (G.Forst.) A.R.Field & Bostock,Phlegmariurus,Lycopodium myrtifolium G.Forst.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus neocaledonicus (Nessel) A.R.Field & Bostock,Phlegmariurus, ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium mirabile var. microbracteata Compton,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium phlegmaria var. mirabile Bonap.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Huperzia phlegmaria (L.) Rothm.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Urostachys phlegmaria (L.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium phlegmaria L.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus,Lycopodium mirabile Willd.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Lycopodium phlegmarioides Gaudich.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Huperzia phlegmarioides (Gaudich.) Rothm.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phlegmarioides (Gaudich.) A.R.Field & Bostock,Phlegmariurus,Urostachys phlegmarioides (Gaudich.) Herter ex Nessel,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phyllanthus (Hook. & Arn.) R.D.Dixit,Phlegmariurus,Lycopodium phyllanthum Hook. & Arn.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus phyllanthus (Hook. & Arn.) R.D.Dixit,Phlegmariurus,Huperzia phyllantha (Hook. & Arn.) Holub,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus pseudovaria (Browlie) Rouhan & A.R.Field,Phlegmariurus,Lycopodium pseudovarium Brownlie,Rouhan et al. (2021). Three new combinations and one lectotypification of fern and lycophyte taxa from the French overseas territories. Phytotaxa 497 (1): 054–056. https://doi.org/10.11646/phytotaxa.497.1.6
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus pseudovaria (Browlie) Rouhan & A.R.Field,Phlegmariurus,Huperzia pseudovaria (Brownlie) Holub,Rouhan et al. (2021). Three new combinations and one lectotypification of fern and lycophyte taxa from the French overseas territories. Phytotaxa 497 (1): 054–056. https://doi.org/10.11646/phytotaxa.497.1.6
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus schlechteri (E.Pritz.) A.R.Field & Bostock,Phlegmariurus, ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Urostachys squarrosus (G.Forst.) Herter,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Lycopodium squarrosum var. laxum C.Chr.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Lycopodium squarrosum G.Forst.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Huperzia squarrosa (G.Forst.) Rothm.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Lycopodium phyllanthum sensu ,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus,Huperzia squarrosa (G.Forst.) Trevis.,"Voir Field, A. R., and P. D. Bostock. 2013. New and existing combinations in Palaeotropical Phlegmariurus (Lycopodiaceae) and lectotypification of the type species Phlegmariurus phlegmaria (L.) T.Sen & U.Sen. PhytoKeys 20:33-51."
Lycopodiaceae P. Beauv. ex Mirb.,Pseudodiphasium volubile (G.Forst.) Holub,Pseudodiphasium,Lycopodium complanatum sensu Mett.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Pseudodiphasium volubile (G.Forst.) Holub,Pseudodiphasium,Lycopodium volubile G.Forst.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Pseudolycopodium densum (Rothm.) Holub,Pseudolycopodium,Lycopodium deuterodensum Herter,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Pseudolycopodium densum (Rothm.) Holub,Pseudolycopodium,Lycopodium densum Labill.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Lycopodiaceae P. Beauv. ex Mirb.,Pseudolycopodium densum (Rothm.) Holub,Pseudolycopodium,Lepidotis densa Rothm.,"The Pteridophyte Phylogeny Group (2016) Journal of Systematics and Evolution 54, 563-603."
Selaginellaceae Willk.,Selaginella firmuloides Warb.,Selaginella,Selaginella jouani Hieron.,"Indiquée autochtone dans le listing, mais endémique dans la flore et sur Internet (http://homepages.caverock.net.nz/~bj/fern/selaginella2.htm)"
Selaginellaceae Willk.,Selaginella firmuloides Warb.,Selaginella,Selaginella vieillardii A.Br. ex Hieron.,"Indiquée autochtone dans le listing, mais endémique dans la flore et sur Internet (http://homepages.caverock.net.nz/~bj/fern/selaginella2.htm)"
Selaginellaceae Willk.,Selaginella firmuloides Warb.,Selaginella,Selaginella firmula sensu Jeanp.,"Indiquée autochtone dans le listing, mais endémique dans la flore et sur Internet (http://homepages.caverock.net.nz/~bj/fern/selaginella2.htm)"
Selaginellaceae Willk.,Selaginella hordeiformis Baker,Selaginella,Selaginella tessellata W.Bull,"Distribution : Fidji (erreur d'étiquette), Nouvelle-Calédonie"
Selaginellaceae Willk.,Selaginella megastachya Baker,Selaginella, ,
Selaginellaceae Willk.,Selaginella neocaledonica Baker,Selaginella,Selaginella squamifolia Warb.,
Selaginellaceae Willk.,Selaginella neocaledonica Baker,Selaginella,Selaginella usta var. angustifolia Hieron. ex Jeanp.,
Selaginellaceae Willk.,Selaginella neocaledonica Baker,Selaginella,Selaginella usta var. usta Vieill. ex Baker,
Selaginellaceae Willk.,Selaginella neocaledonica Baker,Selaginella,Selaginella macgillivrayi Baker,
Selaginellaceae Willk.,Selaginella sespillifolia Brownlie,Selaginella, ,
Selaginellaceae Willk.,Selaginella vieillardii Warb.,Selaginella, ,
Aspleniaceae Newman,Asplenium attenuatum R.Br.,Asplenium, ,
Aspleniaceae Newman,Asplenium australasicum (J.Sm.) Hook.f.,Asplenium,Neottopteris australasica J.Sm.,
Aspleniaceae Newman,Asplenium cuneatum Lam.,Asplenium,Asplenium spathulinum var. proliferum (Bonap.) C.Chr.,
Aspleniaceae Newman,Asplenium cuneatum Lam.,Asplenium,Asplenium cuneatum var. proliferum Bonap.,
Aspleniaceae Newman,Asplenium decurrens Willd.,Asplenium,Asplenium obtusatum G.Forst.,D'après Perrie & Brownsey pers. comm. (sur Gâteblé 1020)
Aspleniaceae Newman,Asplenium dognyense Rosenst.,Asplenium,Asplenium tenerum var. neocaledonica Rosenst.,
Aspleniaceae Newman,Asplenium filidens Brownlie,Asplenium, ,"Pourrait être un synonyme de A. parvum Watts (Perrie pers. comm, Mars 2017)"
Aspleniaceae Newman,Asplenium insiticium Brack.,Asplenium, ,
Aspleniaceae Newman,Asplenium laserpitiifolium Lam.,Asplenium,Asplenium robustum Blume,
Aspleniaceae Newman,Asplenium listeri C.Chr.,Asplenium, ,"Present in New Caledonia fide Ohlsen, D. J., Perrie, L. R., Shepherd, L. D., & Bayly, M. J. (2014) Australian Systematic Botany 27, 372-377."
Aspleniaceae Newman,Asplenium lobulatum Mett. ex Kuhn,Asplenium, ,"Signalé par Ohlsen, D. J., Perrie, L. R., Shepherd, L. D., Brownsey, P. J., & Bayly, M. J. (2015). Phylogeny of the fern family Aspleniaceae in Australasia and the south-western Pacific. Australian Systematic Botany, 27(6), 355-371."
Aspleniaceae Newman,Asplenium nidus L.,Asplenium, ,
Aspleniaceae Newman,Asplenium novae-caledoniae Hook.,Asplenium,Asplenium ceratophyllum Copel.,
Aspleniaceae Newman,Asplenium oligolepidum C.Chr.,Asplenium, ,
Aspleniaceae Newman,Asplenium polyodon G.Forst.,Asplenium,"Asplenium adiantoides (L.) C.Chr., auct. non.","Is different from A. falcatum fide Salgado, A. E. & Fraser-Jenkins, C. R. (2013) Fern Gazette 19, 213-239."
Aspleniaceae Newman,Asplenium polyodon G.Forst.,Asplenium,Asplenium adiantoides var. polyodon (G.Forst.) Bonap.,"Is different from A. falcatum fide Salgado, A. E. & Fraser-Jenkins, C. R. (2013) Fern Gazette 19, 213-239."
Aspleniaceae Newman,Asplenium polyphyleticum Compton,Asplenium, ,
Aspleniaceae Newman,Asplenium pseudobulbiferum Brownlie,Asplenium, ,
Aspleniaceae Newman,Asplenium pseudotenerum Brownlie,Asplenium, ,
Aspleniaceae Newman,Asplenium subflexuosum Rosenst.,Asplenium, ,
Aspleniaceae Newman,Asplenium tenuiculum Rosenst.,Asplenium, ,"Brownlie (1969, Fl. NC p. 185) considered this taxa as an Hybrid and didn't retain that name, Ohlsen et al. (2015) considered it as a good species."
Aspleniaceae Newman,Asplenium vieillardii Mett.,Asplenium,Asplenium vieillardii var. scoparioides Rosenst.,
Aspleniaceae Newman,Hymenasplenium neocaledonicum Li Bing Zhang & K.W.Xu,Hymenasplenium, ,"In : Xu, K.-W., et al., A revision of the Hymenasplenium unilaterale subclade (Aspleniaceae; Pteridophyta) with the description of nine new species. Phytotaxa, 2019. 419(1): p. 1-27."
Athyriaceae Alston,Deparia petersenii (Kunze) M.Kato,Deparia,Asplenium petersenii Kunze,
Athyriaceae Alston,Deparia petersenii (Kunze) M.Kato,Deparia,Lunatryrium petersenii (Kunze) H.Ohba,
Athyriaceae Alston,Diplazium dilatatum Blume,Diplazium, ,
Athyriaceae Alston,Diplazium echinatum C.Chr.,Diplazium, ,
Athyriaceae Alston,Diplazium rosenstockii (Copel.) Brownlie,Diplazium,Athyrium rosenstockii Copel.,ne serait présente qu'aux Loyautés d'après Brownlie
Athyriaceae Alston,Diplazium rosenstockii (Copel.) Brownlie,Diplazium,Athyrium australe var. gemmiferum C.Chr.,ne serait présente qu'aux Loyautés d'après Brownlie
Blechnaceae Newman,Austroblechnum vieillardii (Mett.) Gasper & V.A.O.Dittrich,Austroblechnum,Blechnum vieillardii var. vieillardii Mett.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Austroblechnum vieillardii (Mett.) Gasper & V.A.O.Dittrich,Austroblechnum,Blechnum vieillardii  Mett.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Blechnopsis orientalis (L.) C.Presl,Blechnopsis, ,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Blechnum oceanicum var. flocculosum (C.Chr.) Brownlie,Blechnum,Blechnum flocculosum C.Chr.,"Incert. Stat. : was nor treated by DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Blechnum spinulosum Poir.,Blechnum,Doodia caudata (Cav.) R.Br.,"Probably a synonym of Doodia caudata (Cav.) R.Br, but that name was nor treated by Gasper et al. 2016 Phytotaxa 275(3), pp.191-227."
Blechnaceae Newman,Blechnum spinulosum Poir.,Blechnum,Woodwardia caudata Cav.,"Probably a synonym of Doodia caudata (Cav.) R.Br, but that name was nor treated by Gasper et al. 2016 Phytotaxa 275(3), pp.191-227."
Blechnaceae Newman,Blechnum vieillardii var. simplex E.Fourn.,Blechnum, ,"Incert. Stat. Not treated in DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Cranfillia deplanchei (Baker) Vázquez Ferreira & Gabriel y Galán,Cranfillia,Blechnum deplanchei (Baker) C.Chr.,"Vázquez Ferreira, R., Gabriel y Galán, † J., Alfaya, P., Vicent, M., & Prada, C. (2021). Revision of Cranfillia opaca in New Caledonia. Botanica Complutensis, 45, e73670. https://doi.org/10.5209/bocm.7367"
Blechnaceae Newman,Cranfillia deplanchei (Baker) Vázquez Ferreira & Gabriel y Galán,Cranfillia,Lomaria deplanchei Baker,"Vázquez Ferreira, R., Gabriel y Galán, † J., Alfaya, P., Vicent, M., & Prada, C. (2021). Revision of Cranfillia opaca in New Caledonia. Botanica Complutensis, 45, e73670. https://doi.org/10.5209/bocm.7367"
Blechnaceae Newman,Cranfillia hirsuta (Rosenst.) Gasper & V.A.O.Dittrich,Cranfillia,Blechnum hirsutum Rosenst.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Cranfillia opaca (Mett.) Gasper & V.A.O.Dittrich,Cranfillia,Blechnum opacum Mett.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Diploblechnum diversifolium (Mett.) Gasper & V.A.O.Dittrich,Diploblechnum,Blechnum diversifolium Mett.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Diploblechnum lenormandii (Baker) Gasper & V.A.O.Dittrich,Diploblechnum,Lomaria lenormandii Baker,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Diploblechnum lenormandii (Baker) Gasper & V.A.O.Dittrich,Diploblechnum,Blechnum lenormandii (Baker) Diels,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Doodia gracilis Copel.,Doodia,Blechnum austrocaledonicum Christenh.,non Blechnum gracile Kaulfuss
Blechnaceae Newman,Doodia media R.Br.,Doodia,Blechnum medium (R.Br.) Christenh.,
Blechnaceae Newman,Lomaria oceanica (Rosenst.) Gasper & V.A.O.Dittrich,Lomaria,Blechnum oceanicum  Brownlie,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Lomaria oceanica (Rosenst.) Gasper & V.A.O.Dittrich,Lomaria,Blechnum oceanicum var. oceanicum (Rosenst.) Brownlie,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Lomaria oceanica (Rosenst.) Gasper & V.A.O.Dittrich,Lomaria,Blechnum atternuatum var. oceanicum Rosenst.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
Blechnaceae Newman,Lomaridium contiguum (Mett.) Gasper & V.A.O.Dittrich,Lomaridium,Blechnum contiguum Mett.,"DE GASPER, A.L., DITTRICH, V.A.D.O., SMITH, A.R. and SALINO, A., 2016. A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations. Phytotaxa, 275(3), pp.191-227."
