Family,Genus,Sp1,TaxStat,Accepted,Ecology
Hypoxidaceae,Spiloxene,monophylla,Synonym,Pauridia monophylla (Schltr. ex Baker) Snijman & Kocyan,Indigenous; Endemic
Urticaceae,Forsskaolea,hereroensis,Accepted,,Indigenous
Asteraceae,Senecio,klinghardtianus,Synonym,Curio sulcicalyx (N.E.Br.) P.V.Heath,Indigenous
Lamiaceae,Syncolostemon,parviflorus,Inclusive,,Indigenous
Proteaceae,Mimetes,chrysanthus,Accepted,,Indigenous; Endemic
Cyperaceae,Rhynchospora,rubra,Inclusive,,Indigenous
Proteaceae,Leucadendron,abietinum,Synonym,Leucadendron teretifolium (Andrews) I.Williams,Indigenous
Asphodelaceae,Haworthia,elizeae,Synonym,Haworthia rossouwii Poelln. var. elizeae (Breuer) M.B.Bayer,Indigenous; Endemic
Iridaceae,Xenoscapa,fistulosa,Accepted,,Indigenous
Zygophyllaceae,Zygophyllum,leucocladum,Synonym,Roepera leucoclada (Diels) Beier & Thulin,Indigenous
Iridaceae,Babiana,toximontana,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,hirsuta,Synonym,Moraea papilionacea (L.f.) Ker Gawl.,Indigenous
Asphodelaceae,Bulbine,latifolia,Accepted,,Indigenous; Endemic
Asteraceae,Waitzia,refracta,Synonym,Freesia refracta (Jacq.) Klatt,Indigenous
Geraniaceae,Monsonia,sp.,Genus level,,
Apiaceae,Hermas,pillansii,Synonym,Hermas lanata (Hill) Magee,Indigenous; Endemic
Convolvulaceae,Ipomoea,bathycolpos,Accepted,,Indigenous; Endemic
Ericaceae,Erica,leptopus,Accepted,,Indigenous; Endemic
Fabaceae,Cassia,multiglandulosa,Synonym,Senna multiglandulosa (Jacq.) H.S.Irwin & Barneby,Not indigenous
Iridaceae,Gladiolus,brevitubus,Accepted,,Indigenous; Endemic
Santalaceae,Thesium,litoreum,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,crispula,Accepted,,Indigenous; Endemic
Scrophulariaceae,Buddleja,auriculata,Accepted,,Indigenous
Aizoaceae,Conophytum,leightoniae,Synonym,Conophytum piluliforme (N.E.Br.) N.E.Br. subsp. piluliforme,Present
Aizoaceae,Conophytum,subacutum,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Iridaceae,Romulea,macowanii,Accepted,,Indigenous
Brassicaceae,Sisymbrium,capense,Accepted,,Indigenous
Ulmaceae,Ulmus,parvifolia,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Colchicaceae,Colchicum,capense,Inclusive,,Indigenous; Endemic
Apocynaceae,Cynanchum,sp.,Genus level,,
Orchidaceae,Cheirostylis,nuda,Accepted,,Indigenous
Iridaceae,Dietes,bicolor,Inclusive,,Indigenous; Endemic
Acanthaceae,Metarungia,pubinervia,Accepted,,Indigenous
Campanulaceae,Lightfootia,diffusa,Synonym,Wahlenbergia tenella (L.f.) Lammers var. stokoei (Adamson) Welman,Indigenous; Endemic
Euphorbiaceae,Euphorbia,esculenta,Accepted,,Indigenous; Endemic
Solanaceae,Nicandra,sp.,Genus level,,
Campanulaceae,Wahlenbergia,rotundifolia,Synonym,Wahlenbergia brehmeri Lammers,Indigenous
Colchicaceae,Colchicum,hughocymbion,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,minima,Synonym,Haworthia arachnoidea (L.) Duval var. setata (Haw.) M.B.Bayer,Indigenous
Asparagaceae,Asparagus,rigidus,Accepted,,Indigenous; Endemic
Solanaceae,Nierembergia,hippomanica,Synonym,Nierembergia linariifolia Graham,Not indigenous; Naturalised
Fabaceae,Dolichos,junodii,Synonym,Nesphostylis junodii (Harms) Munyeny. & F.A.Bisby,Indigenous
Asphodelaceae,Haworthia,bullulata,Synonym,Astroloba bullulata (Jacq.) Uitewaal,Present
Asteraceae,Chrysanthemum,sp.,Genus level,,
Cyperaceae,Cyperus,prolifer,Accepted,,Indigenous
Poaceae,Bromus,leptoclados,Accepted,,Indigenous
Cyperaceae,Ficinia,arenicola,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,latisepalum,Synonym,Mesembryanthemum guerichianum Pax,Indigenous
Acanthaceae,Petalidium,aromaticum,Accepted,,Indigenous
Aizoaceae,Lampranthus,scaber,Accepted,,Indigenous; Endemic
