Family,Genus,Sp1,TaxStat,Accepted,Ecology
Ericaceae,Erica,globiceps,Accepted,,Indigenous; Endemic
Lythraceae,Nesaea,cymosa,Synonym,Ammannia cymosa (Immelman) S.A.Graham & Gandhi,Indigenous
Asphodelaceae,Aloe,speciosa,Accepted,,Indigenous; Endemic
Asteraceae,Felicia,venusta,Accepted,,Indigenous; Endemic
Acanthaceae,Macrorungia,formosissima,Synonym,Anisotes formosissimus (Klotzsch) Milne-Redh.,
Caryophyllaceae,Herniaria,erckertii,Synonym,Herniaria erckertii F.Herm. subsp. erckertii,Indigenous
Aizoaceae,Rabiea,albipuncta,Accepted,,Indigenous; Endemic
Aizoaceae,Stomatium,patulum,Accepted,,Indigenous; Endemic
Asteraceae,Cotula,nigellifolia,Accepted,,Indigenous; Endemic
Apocynaceae,Riocreuxia,burchellii,Synonym,Riocreuxia polyantha Schltr.,Present
Cyperaceae,Archaeocarex,thunbergii,Synonym,Carex capensis Thunb.,Indigenous; Endemic
Iridaceae,Gladiolus,plicatus,Synonym,Babiana tubiflora (L.f.) Ker Gawl. subsp. tubiflora,Indigenous
Geraniaceae,Pelargonium,althaeoides,Accepted,,Indigenous
Iridaceae,Romulea,fibrosa,Accepted,,Indigenous; Endemic
Iridaceae,Romulea,toximontana,Accepted,,Indigenous; Endemic
Asteraceae,Gymnanthemum,koekemoerae,Accepted,,Indigenous; Endemic
Asteraceae,Relhania,ericoides,Synonym,Oedera fruticosa (L.) N.G.Bergh,Indigenous
Poaceae,Diplachne,capensis,Synonym,Leptochloa fusca Kunth subsp. fusca,Indigenous
Malvaceae,Hermannia,diffusa,Accepted,,Indigenous
Caryophyllaceae,Arenaria,diffusa,Accepted,,Not indigenous; Naturalised
Aizoaceae,Ruschia,globularis,Synonym,Ruschia spinosa (L.) Dehn,Present
Eriocaulaceae,Eriocaulon,dregei,Synonym,Eriocaulon sonderianum Korn.,Indigenous
Iridaceae,Moraea,herrei,Accepted,,Indigenous; Endemic
Dipsacaceae,Scabiosa,angustiloba,Accepted,,Indigenous; Endemic
Fabaceae,Amphithalea,parvifolia,Accepted,,Indigenous; Endemic
Ericaceae,Erica,foliacea,Synonym,Erica foliacea Andrews subsp. fulgens (Klotzsch) E.G.H.Oliv. & I.M.Oliv.,Indigenous; Endemic
Rubiaceae,Pavetta,zeyheri,Accepted,,Indigenous; Endemic
Lejeuneaceae,Drepanolejeunea,hamatifolia,Accepted,,Indigenous
Ericaceae,Erica,cerinthoides,Accepted,,Indigenous
Brassicaceae,Matthiola,longipetala,Accepted,,Not indigenous; Cultivated; Naturalised
Pteridaceae,Cheilanthes,deltoidea,Inclusive,,Indigenous; Endemic
Fabaceae,Podalyria,retzii,Synonym,Podalyria biflora (L.) Lam.,Indigenous
Restionaceae,Restio,ocreatus,Accepted,,Indigenous; Endemic
Asteraceae,Osteospermum,norlindhianum,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,fluffa,Synonym,Haworthia decipiens Poelln. var. virella M.B.Bayer,Indigenous
Aizoaceae,Corpuscularia,gracilis,Synonym,Corpuscularia gracillima (L.Bolus) Niederle,Indigenous; Endemic
Orchidaceae,Disa,rhodantha,Accepted,,Indigenous
Fabaceae,Crotalaria,excisa,Accepted,,Indigenous; Endemic
Proteaceae,Protea,cynaroides,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,inconfluens,Synonym,Haworthia lockwoodii Archibald,Indigenous
Asphodelaceae,Haworthiopsis,granulata,Synonym,Haworthiopsis granulata (Marloth) G.D.Rowley,Indigenous
Aizoaceae,Ruschia,sandbergensis,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,androsacea,Synonym,Antimima androsacea (Marloth & Schwantes) H.E.K.Hartmann,Present
Proteaceae,Protea,incompta,Synonym,Protea coronata Lam.,Indigenous
Asteraceae,Eriocephalus,hirsutus,Synonym,Eriocephalus luederitzianus O.Hoffm.,Indigenous
Penaeaceae,Penaea,cneorum,Accepted,,Indigenous; Endemic
Crassulaceae,Curtogyne,undosa,Synonym,Crassula undulata Haw.,Indigenous
Malvaceae,Sida,serratifolia,Accepted,,Indigenous
Oxalidaceae,Oxalis,dreyerae,Accepted,,Indigenous; Endemic
Santalaceae,Thesium,translucens,Accepted,,Indigenous; Endemic
Polypodiaceae,Pleopeltis,simiana,Accepted,,Indigenous
Fabaceae,Aspalathus,inops,Accepted,,Indigenous; Endemic
Asteraceae,Afroaster,confertifolius,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschiella,lunulata,Accepted,,Indigenous; Endemic
Proteaceae,Aulax,pinifolia,Synonym,Aulax cancellata (L.) Druce,Indigenous
Lejeuneaceae,Eulejeunea,saccatiloba,Synonym,Lejeunea capensis Gottsche,
Asteraceae,Pluchea,scabrida,Synonym,Conyza scabrida DC.,Indigenous
Geraniaceae,Pelargonium,desertorum,Accepted,,Indigenous; Endemic
Apocynaceae,Pectinaria,longipes,Accepted,,Indigenous; Endemic
Restionaceae,Calopsis,clandestina,Synonym,Restio clandestinus (Esterh.) H.P.Linder & C.R.Hardy,Indigenous; Endemic
Scrophulariaceae,Diascia,mollis,Accepted,,Indigenous; Endemic
Oleaceae,Olea,cuspidata,Synonym,Olea europaea L. subsp. cuspidata (Wall. ex G.Don) Cif.,
Aizoaceae,Antimima,mucronata,Accepted,,Indigenous; Endemic
Poaceae,Digitaria,violascens,Accepted,,Not indigenous; Naturalised
Poaceae,Eragrostis,nindensis,Accepted,,Indigenous
Colchicaceae,Wurmbea,viridiflora,Accepted,,Indigenous; Endemic
Plantaginaceae,Plantago,bigelovii,Accepted,,Not indigenous; Naturalised
Cyperaceae,Cyperus,sensilis,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,decurrens,Accepted,,Not indigenous; Naturalised; Invasive
Campanulaceae,Lightfootia,sessiliflora,Synonym,Wahlenbergia subulata (L'Her.) Lammers var. subulata,Indigenous
Aizoaceae,Carpobrotus,fourcadei,Synonym,Carpobrotus deliciosus (L.Bolus) L.Bolus,Present
Amaranthaceae,Sericorema,sericea,Accepted,,Indigenous
Scrophulariaceae,Phyllopodium,namaense,Accepted,,Indigenous
Apocynaceae,Hoodia,officinalis,Inclusive,,Indigenous
Haemodoraceae,Anigozanthos,flavidus,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Lamiaceae,Syncolostemon,pretoriae,Accepted,,Indigenous
Aizoaceae,Ebracteola,wilmaniae,Accepted,,Indigenous; Endemic
Iridaceae,Babiana,mucronata,Accepted,,Indigenous; Endemic
Asparagaceae,Asparagus,virgatus,Accepted,,Indigenous
Scrophulariaceae,Sutera,argentea,Synonym,Jamesbrittenia argentea (L.f.) Hilliard,Present
Orchidaceae,Disa,physodes,Accepted,,Indigenous; Endemic
Acanthaceae,Justicia,exilissima,Synonym,Justicia exigua S.Moore,
Asteraceae,Senecio,flanaganii,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,lavendulacea,Synonym,Lobelia erinus L.,
Oxalidaceae,Oxalis,polyphylla,Accepted,,Indigenous; Endemic
Aizoaceae,Lampranthus,dyckii,Accepted,,Indigenous; Endemic
Salicaceae,Salix,fragilis,Inclusive,,Not indigenous; Cultivated; Naturalised; Invasive
Hyacinthaceae,Ornithogalum,psammophorum,Synonym,Albuca psammophora (U.Mull.-Doblies & D.Mull.-Doblies) J.C.Manning & Goldblatt,Indigenous; Endemic
Pteridaceae,Cheilanthes,hirta,Accepted,,Indigenous
Poaceae,Hyparrhenia,filipendula,Accepted,,Indigenous
Pottiaceae,Syntrichia,austro-africana,Accepted,,Indigenous
Iridaceae,Romulea,stellata,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,filiformis,Synonym,Lobelia flaccida (C.Presl) A.DC. subsp. flaccida,Indigenous
Scrophulariaceae,Zaluzianskya,lanigera,Accepted,,Indigenous; Endemic
Apocynaceae,Carissa,grandiflora,Synonym,Carissa macrocarpa (Eckl.) A.DC.,Indigenous
Orchidaceae,Brownleea,sp.,Genus level,,
Asphodelaceae,Haworthia,namaquensis,Synonym,Haworthia arachnoidea (L.) Duval var. namaquensis M.B.Bayer,Indigenous; Endemic
Ericaceae,Erica,coccinea,Synonym,Erica intermedia Klotzsch ex Benth. subsp. intermedia,Indigenous
Thymelaeaceae,Gnidia,inconspicua,Accepted,,Indigenous; Endemic
Sapindaceae,Erythrophysa,alata,Accepted,,Indigenous
Fabaceae,Crotalaria,orientalis,Inclusive,,Indigenous
Cupressaceae,Widdringtonia,sp.,Genus level,,
Acanthaceae,Acanthodium,capense,Synonym,Blepharis inermis (Nees) C.B.Clarke,
Iridaceae,Homeria,comptonii,Synonym,Moraea comptonii (L.Bolus) Goldblatt,Present
Plagiotheciaceae,Plagiothecium,sp.,Genus level,,
Aizoaceae,Trianthema,monogynum,Synonym,Trianthema portulacastrum L.,Indigenous
Rubiaceae,Psydrax,capensis,Accepted,,Indigenous; Endemic
Fabaceae,Indigofera,charlieriana,Synonym,Indigofera charlieriana Schinz subsp. sessilis (Chiov.) Schrire var. scaberrima,Indigenous
Gesneriaceae,Streptocarpus,parviflorus,Inclusive,,Indigenous
Asphodelaceae,Gasteria,salmdyckiana,Synonym,Gasteria bicolor Haw. var. bicolor,Present
Ericaceae,Scyphogyne,urceolata,Synonym,Erica urceolata (Klotzsch) E.G.H.Oliv.,Indigenous
Apocynaceae,Aspidonepsis,reenensis,Accepted,,Indigenous
Brassicaceae,Sisymbrium,burchellii,Inclusive,,Indigenous
Asteraceae,Arctotis,laevis,Synonym,Arctotis laciniata Lam.,Indigenous; Endemic
Asphodelaceae,Haworthia,mirabilis,Accepted,,Indigenous; Endemic
Apocynaceae,Stenostelma,eminens,Synonym,Asclepias eminens (Harv.) Schltr.,Indigenous
Asphodelaceae,Bulbine,asphodeloides,Accepted,,Indigenous
Aizoaceae,Ruschia,maleolens,Synonym,Antimima maleolens (L.Bolus) H.E.K.Hartmann,Present
Lycopodiaceae,Lycopodiella,sarcocaulon,Synonym,Pseudolycopodiella sarcocaulon (A.Braun & Welw. ex Kuhn) Holub,Indigenous
Hydrocharitaceae,Lagarosiphon,crispus,Synonym,Lagarosiphon cordofanus Casp.,
Crassulaceae,Crassula,rupestris,Accepted,,Indigenous
Pottiaceae,Syntrichia,laevipila,Accepted,,Indigenous
Cyperaceae,Tetraria,thermalis,Synonym,Tetraria eximia C.B.Clarke,Indigenous
Asphodelaceae,Haworthia,planifolia,Synonym,Haworthia cymbiformis (Haw.) Duval var. cymbiformis,Indigenous
Ericaceae,Erica,petrusiana,Accepted,,Indigenous; Endemic
Geraniaceae,Pelargonium,multiradiatum,Accepted,,Indigenous; Endemic
Targioniaceae,Targionia,hypophylla,Synonym,Targionia hypophylla L.,Indigenous
Hyacinthaceae,Ledebouria,lepida,Accepted,,Indigenous; Endemic
Fabaceae,Senna,multiglandulosa,Accepted,,Not indigenous; Cultivated; Naturalised
Iridaceae,Hexaglottis,virgata,Synonym,Moraea virgata Jacq. subsp. virgata,Present
Asteraceae,Rennera,sp.,Genus level,,
Aizoaceae,Sceletium,framesii,Synonym,Mesembryanthemum tortuosum L.,Present
Aizoaceae,Gibbaeum,esterhuyseniae,Accepted,,Indigenous; Endemic
Scrophulariaceae,Selago,galpinii,Accepted,,Indigenous
Boraginaceae,Lithospermum,afromontanum,Accepted,,Indigenous
Lobeliaceae,Dortmanna,coronopifolia,Synonym,Lobelia tomentosa L.f.,Indigenous
Agavaceae,Chlorophytum,triflorum,Accepted,,Indigenous; Endemic
Lobeliaceae,Cyphia,transvaalensis,Accepted,,Indigenous; Endemic
Cyperaceae,Fuirena,leptostachya,Synonym,Fuirena leptostachya Oliv. forma nudiflora Lye,Indigenous
Amaryllidaceae,Vallota,purpurea,Synonym,Cyrtanthus elatus (Jacq.) Traub,Indigenous
Aizoaceae,Bergeranthus,artus,Accepted,,Indigenous; Endemic
Ericaceae,Erica,solandra,Synonym,Erica setulosa Benth.,Indigenous
Rubiaceae,Pentas,micrantha,Accepted,,Indigenous
Cupressaceae,Pachylepis,cupressoides,Synonym,Widdringtonia nodiflora (L.) Powrie,
Fabaceae,Psoralea,stachyos,Synonym,Otholobium hirtum (L.) C.H.Stirt.,
Asteraceae,Athrixia,heterophylla,Accepted,,Indigenous; Endemic
Myrtaceae,Syzygium,pondoense,Accepted,,Indigenous; Endemic
Musaceae,Ensete,sp.,Genus level,,
Poaceae,Bromus,catharticus,Accepted,,Not indigenous; Naturalised; Invasive
Hyacinthaceae,Tenicroa,decipiens,Synonym,Drimia decipiens J.C.Manning & Goldblatt,Indigenous
Ebenaceae,Diospyros,rotundifolia,Accepted,,Indigenous
Asphodelaceae,Aloe,ramosa,Synonym,Aloidendron dichotomum (Masson) Klopper & Gideon F.Sm.,Indigenous
Ranunculaceae,Clematis,villosa,Accepted,,Indigenous
Aizoaceae,Conophytum,cupreiflorum,Accepted,,Indigenous; Endemic
Restionaceae,Restio,miser,Accepted,,Indigenous; Endemic
Aizoaceae,Stomatium,meyeri,Accepted,,Indigenous; Endemic
Lobeliaceae,Monopsis,lutea,Synonym,Monopsis lutea (L.) Urb.,Indigenous
Ericaceae,Erica,gracilipes,Accepted,,Indigenous; Endemic
Thymelaeaceae,Gnidia,calocephala,Synonym,Lasiosiphon calocephalus (Meisn.) Domke,Indigenous; Endemic
Lamiaceae,Syncolostemon,rotundifolius,Accepted,,Indigenous; Endemic
Apocynaceae,Orbeopsis,lutea,Synonym,Orbea lutea (N.E.Br.) Bruyns subsp. lutea,Indigenous
Scrophulariaceae,Diascia,glandulosa,Inclusive,,Indigenous
Aizoaceae,Ruschia,virgata,Accepted,,Indigenous; Endemic
Asphodelaceae,Bulbine,torsiva,Accepted,,Indigenous; Endemic
Fabaceae,Indigofera,hedyantha,Accepted,,Indigenous
Eriocaulaceae,Eriocaulon,ruhlandii,Synonym,Eriocaulon schlechteri Ruhland,Indigenous
Asteraceae,Phymaspermum,trifidum,Accepted,,Indigenous; Endemic
Ericaceae,Erica,obtusata,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,maculata,Accepted,,Indigenous
Fabaceae,Elephantorrhiza,obliqua,Accepted,,Indigenous; Endemic
Apocynaceae,Woodia,mucronata,Synonym,Woodia mucronata (Thunb.) N.E.Br.,Indigenous
Aizoaceae,Leipoldtia,lunata,Accepted,,Indigenous; Endemic
Fabaceae,Guibourtia,sp.,Genus level,,
Poaceae,Stipagrostis,zeyheri,Accepted,,Indigenous; Endemic
Malvaceae,Anisodontea,fruticosa,Accepted,,Indigenous; Endemic
Restionaceae,Restio,distylis,Accepted,,Indigenous; Endemic
Asteraceae,Tripteris,auriculata,Synonym,Osteospermum auriculatum (S.Moore) Norl.,Indigenous; Endemic
Aizoaceae,Antimima,evoluta,Accepted,,Indigenous; Endemic
Hypoxidaceae,Spiloxene,maximiliani,Synonym,Pauridia maximiliani (Schltr.) Snijman & Kocyan,Indigenous
Aizoaceae,Delosperma,deleeuwiae,Accepted,,Indigenous
Poaceae,Pentaschistis,tysonii,Synonym,Pentameris tysonii (Stapf) Galley & H.P.Linder,Indigenous; Endemic
Aizoaceae,Conophytum,gonapense,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Aizoaceae,Aridaria,oculata,Synonym,Mesembryanthemum oculatum N.E.Br.,Indigenous
Proteaceae,Serruria,triternata,Accepted,,Indigenous; Endemic
Myrtaceae,Syzygium,legatii,Accepted,,Indigenous; Endemic
Iridaceae,Romulea,amoena,Synonym,Romulea pudica (Sol. ex Ker Gawl.) Baker,Indigenous; Endemic
Rutaceae,Acmadenia,macradenia,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,loricata,Accepted,,Indigenous; Endemic
Rhamnaceae,Phylica,galpinii,Accepted,,Indigenous; Endemic
Orobanchaceae,Rhamphicarpa,fistulosa,Accepted,,Indigenous
Santalaceae,Thesium,leptocaule,Accepted,,Indigenous; Endemic
Sapindaceae,Schmidelia,dregeana,Synonym,Allophylus dregeanus (Sond.) De Winter,Indigenous
Apocynaceae,Oncinema,sp.,Genus level,,
Fabaceae,Kotschya,sp.,Genus level,,
Fissidentaceae,Fissidens,megalotis,Inclusive,,Indigenous
Amaranthaceae,Bassia,sp.,Genus level,,
Salicaceae,Salix,mucronata,Synonym,Salix mucronata Thunb. subsp. mucronata,Indigenous
Boraginaceae,Lappula,squarrosa,Synonym,Lappula heteracantha Ledeb.,Not indigenous; Naturalised
Asteraceae,Kleinia,fulgens,Accepted,,Indigenous
Acanthaceae,Gendarussa,incana,Synonym,Justicia incana (Nees) T.Anderson,Indigenous
Ericaceae,Syndesmanthus,pulchellus,Synonym,Erica pulchelliflora E.G.H.Oliv.,Indigenous
Acanthaceae,Acanthodium,dipsaceum,Synonym,Acanthopsis disperma Nees,
Colchicaceae,Wurmbea,capensis,Synonym,Wurmbea dolichantha B.Nord.,Present
Aizoaceae,Lampranthus,multiradiatus,Accepted,,Indigenous; Endemic
Aizoaceae,Phyllobolus,bulletrapensis,Synonym,Mesembryanthemum bulletrapense Klak,Indigenous; Endemic
Ericaceae,Erica,woodii,Accepted,,Indigenous; Endemic
Rutaceae,Euchaetis,glabra,Accepted,,Indigenous; Endemic
Caryophyllaceae,Silene,mundiana,Accepted,,Indigenous; Endemic
Asteraceae,Launaea,rarifolia,Inclusive,,Indigenous
Polygalaceae,Muraltia,ferox,Accepted,,Indigenous; Endemic
Loganiaceae,Strychnos,gerrardii,Accepted,,Indigenous; Endemic
Cucurbitaceae,Cucumis,rigidus,Accepted,,Indigenous
Aizoaceae,Odontophorus,marlothii,Accepted,,Indigenous; Endemic
Scrophulariaceae,Jamesbrittenia,albiflora,Accepted,,Indigenous; Endemic
Ericaceae,Erica,densifolia,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,striatula,Synonym,Aloiampelos striatula (Haw.) Klopper & Gideon F.Sm. var. striatula,Indigenous
Gesneriaceae,Streptocarpus,hilburtianus,Accepted,,Indigenous; Endemic
Apocynaceae,Trichocaulon,halenbergense,Synonym,Hoodia alstonii (N.E.Br.) Plowes,Present
Gesneriaceae,Streptocarpus,porphyrostachys,Accepted,,Indigenous; Endemic
Aizoaceae,Psilocaulon,roseoalbum,Synonym,Mesembryanthemum articulatum Thunb.,Present
Aizoaceae,Lampranthus,turbinatus,Accepted,,Indigenous; Endemic
Fabaceae,Rafnia,capensis,Accepted,,Indigenous; Endemic
Asteraceae,Metalasia,formosa,Accepted,,Indigenous; Endemic
Scrophulariaceae,Selago,angustibractea,Accepted,,Indigenous
Euphorbiaceae,Euphorbia,frickiana,Synonym,Euphorbia pseudoglobosa Marloth,Indigenous
Fabaceae,Psoralea,forbesiae,Accepted,,Indigenous; Endemic
Meteoriaceae,Aerobryopsis,capensis,Accepted,,Indigenous
Hyacinthaceae,Fusifilum,magicum,Synonym,Drimia physodes (Jacq.) Jessop,Indigenous
Gentianaceae,Chironia,palustris,Accepted,,Indigenous
Bruniaceae,Raspalia,angulata,Synonym,Brunia angulata (E.Mey. ex Sond.) Class.-Bockh. & E.G.H.Oliv.,Indigenous; Endemic
Ericaceae,Erica,fastigiata,Accepted,,Indigenous; Endemic
Ericaceae,Erica,lucida,Accepted,,Indigenous; Endemic
Aizoaceae,Phyllobolus,prasinus,Synonym,Mesembryanthemum prasinum (L.Bolus) Klak,Indigenous; Endemic
Asteraceae,Chrysanthemum,coronarium,Synonym,Glebionis coronaria (L.) Cass. ex Spach,Not indigenous; Naturalised
Fabaceae,Aspalathus,eriocephaloides,Accepted,,Indigenous; Endemic
Fabaceae,Melolobium,involucratum,Synonym,Polhillia involucrata (Thunb.) B.-E.van Wyk & A.L.Schutte,Indigenous
Iridaceae,Ixia,sobolifera,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,baylissii,Accepted,,Indigenous; Endemic
Cyperaceae,Abildgaardia,scleropus,Synonym,Bulbostylis scleropus C.B.Clarke,Indigenous
Asteraceae,Vernonia,pinifolia,Synonym,"Hilliardiella capensis (Houtt.) H.Rob., Skvarla & V.A.Funk",Indigenous
Amaranthaceae,Suaeda,sp.,Genus level,,
Asteraceae,Berkheya,francisci,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,triquetra,Synonym,Lobelia comosa L.,Indigenous
Geraniaceae,Pelargonium,fergusoniae,Accepted,,Indigenous; Endemic
Asteraceae,Helichrysum,nudifolium,Accepted,,Indigenous
Caryophyllaceae,Petrorhagia,sp.,Genus level,,
Myrsinaceae,Anagallis,arvensis,Synonym,Lysimachia arvensis (L.) U.Manns & Anderb.,Not indigenous; Naturalised; Invasive
Hypoxidaceae,Hypoxis,rigidula,Inclusive,,Indigenous
Asteraceae,Vernonia,corymbosa,Synonym,Gymnanthemum corymbosum (L.f.) H.Rob.,Indigenous
Iridaceae,Gladiolus,dolichosiphon,Accepted,,Indigenous; Endemic
Iridaceae,Ixia,flaccida,Synonym,Ixia mollis Goldblatt & J.C.Manning,Indigenous; Endemic
Brassicaceae,Heliophila,minor,Accepted,,Indigenous; Endemic
Ericaceae,Erica,aristifolia,Accepted,,Indigenous; Endemic
Asteraceae,Osteospermum,rigidum,Inclusive,,Indigenous
Lamiaceae,Leucas,shirensis,Synonym,Leonotis glabrata (Vahl) J.C.Manning & Goldblatt,
Proteaceae,Leucospermum,calligerum,Accepted,,Indigenous; Endemic
Asteraceae,Helichrysum,basalticum,Accepted,,Indigenous
Fabaceae,Brachystegia,spiciformis,Synonym,Brachystegia spiciformis Benth.,
Iridaceae,Roggeveldia,fistulosa,Synonym,Moraea fistulosa (Goldblatt) Goldblatt,Present
Lepidoziaceae,Lepidozia,stuhlmannii,Inclusive,,Indigenous
Rubiaceae,Anthospermum,esterhuysenianum,Accepted,,Indigenous; Endemic
Apocynaceae,X Hoodiapelia,beukmanii,Accepted,,Indigenous; Endemic
Combretaceae,Combretum,mkuzense,Accepted,,Indigenous; Endemic
Brassicaceae,Heliophila,pusilla,Accepted,,Indigenous; Endemic
Poaceae,Aristida,canescens,Inclusive,,Indigenous
Fabaceae,Lupinus,pilosus,Accepted,,Not indigenous; Naturalised
Aizoaceae,Khadia,acutipetala,Accepted,,Indigenous; Endemic
Aizoaceae,Rhombophyllum,nelii,Accepted,,Indigenous; Endemic
Amaryllidaceae,Hessea,unguiculata,Synonym,Strumaria unguiculata (W.F.Barker) Snijman,Indigenous
Rubiaceae,Oldenlandia,herbacea,Inclusive,,Indigenous
Apiaceae,Peucedanum,tenuifolium,Synonym,Notobubon tenuifolium (Thunb.) Magee,Indigenous; Endemic
Asphodelaceae,Aloe,viscosa,Synonym,Haworthiopsis viscosa (L.) Gildenh. & Klopper,Indigenous
Asteraceae,Cenia,sericea,Synonym,Cotula sericea L.f.,Indigenous
Fabaceae,Parkinsonia,sp.,Genus level,,
Plumbaginaceae,Limonium,kraussianum,Accepted,,Indigenous; Endemic
Lamiaceae,Syncolostemon,stenophyllus,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,comptoniana,Synonym,Haworthia emelyae Poelln. var. comptoniana (G.G.Sm.) J.D.Venter & S.A.Hammer,Indigenous
Poaceae,Aristida,effusa,Accepted,,Indigenous
Iridaceae,Babiana,rubella,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,ecklonii,Accepted,,Indigenous
Euphorbiaceae,Ctenomeria,capensis,Synonym,Tragia capensis Thunb.,Indigenous
Asteraceae,Othonna,abrotanifolia,Synonym,Othonna daucifolia J.C.Manning & Goldblatt,Indigenous; Endemic
Asphodelaceae,Haworthia,xiphiophylla,Synonym,Haworthia decipiens Poelln. var. xiphiophylla (Baker) M.B.Bayer,Indigenous
Aizoaceae,Oophytum,oviforme,Accepted,,Indigenous; Endemic
Apocynaceae,Gomphocarpus,corniculatus,Synonym,Stenostelma corniculatum (E.Mey.) Bullock,Indigenous
Commelinaceae,Tradescantia,fluminensis,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Aizoaceae,Conophytum,obscurum,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,armata,Synonym,Acacia paradoxa DC.,Not indigenous; Naturalised
Scrophulariaceae,Nemesia,fleckii,Accepted,,Indigenous
Anomodontaceae,Anomodon,sp.,Genus level,,
Cyperaceae,Eleocharis,intricata,Synonym,Eleocharis caduca (Delile) Schult.,Present
Hyacinthaceae,Lachenalia,aurea,Synonym,Lachenalia flava Andrews,Indigenous
Asphodelaceae,Haworthia,herrei,Synonym,Haworthiopsis glauca (Baker) G.D.Rowley var. herrei (Poelln.) G.D.Rowley,Indigenous
Geraniaceae,Pelargonium,arthriticum,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,cooperi,Accepted,,Indigenous; Endemic
Alstroemeriaceae,Alstroemeria,pulchella,Accepted,,Not indigenous; Cultivated; Naturalised
Iridaceae,Moraea,galaxia,Accepted,,Indigenous; Endemic
Apocynaceae,Duvalia,parviflora,Accepted,,Indigenous; Endemic
Aizoaceae,Aridaria,caudata,Synonym,Mesembryanthemum caudatum L.Bolus,Indigenous
Bartramiaceae,Bartramia,compacta,Accepted,,Indigenous; Endemic
Crassulaceae,Cotyledon,jacobseniana,Synonym,Cotyledon papillaris L.f.,
Hyacinthaceae,Dipcadi,marlothii,Accepted,,Indigenous
Proteaceae,Paranomus,bolusii,Accepted,,Indigenous; Endemic
Asteraceae,Gorteria,piloselloides,Accepted,,Indigenous; Endemic
Apiaceae,Conium,sp.,Genus level,,
Celastraceae,Gymnosporia,bachmannii,Accepted,,Indigenous; Endemic
Ericaceae,Erica,sociorum,Accepted,,Indigenous; Endemic
Euphorbiaceae,Treisia,tuberculata,Synonym,Euphorbia clava Jacq.,
Crassulaceae,Tylecodon,tenuis,Accepted,,Indigenous; Endemic
Cyperaceae,Pycreus,sanguinolentus,Accepted,,Indigenous
Asparagaceae,Protasparagus,biflorus,Synonym,Asparagus biflorus (Oberm.) Fellingham & N.L.Mey.,Present
Fabaceae,Trifolium,tomentosum,Accepted,,Not indigenous; Naturalised
Euphorbiaceae,Arthrothamnus,cymosus,Synonym,Euphorbia tenax Burch.,Indigenous
Aizoaceae,Halenbergia,hypertrophica,Synonym,Mesembryanthemum hypertrophicum Dinter,Indigenous
Scrophulariaceae,Nemia,rubra,Synonym,Manulea rubra (P.J.Bergius) L.f.,Present
Ericaceae,Erica,albospicata,Accepted,,Indigenous
Scrophulariaceae,Selago,scabrida,Accepted,,Indigenous; Endemic
Iridaceae,Bobartia,rufa,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,pentagona,Synonym,Astroloba spiralis (L.) Uitewaal,Indigenous
Restionaceae,Restio,unispicatus,Accepted,,Indigenous; Endemic
Orobanchaceae,Alectra,basutica,Accepted,,Indigenous
Scrophulariaceae,Nemesia,lilacina,Accepted,,Indigenous
Thymelaeaceae,Passerina,truncata,Inclusive,,Indigenous; Endemic
Poaceae,Bewsia,biflora,Accepted,,Indigenous
Poaceae,Chloris,virgata,Accepted,,Indigenous
Ericaceae,Erica,intermedia,Accepted,,Indigenous; Endemic
Apocynaceae,Notechidnopsis,sp.,Genus level,,
Hyacinthaceae,Fusifilum,pygmaeum,Synonym,Drimia virens (Schltr.) J.C.Manning & Goldblatt,Indigenous
Scrophulariaceae,Jamesbrittenia,tysonii,Accepted,,Indigenous; Endemic
Geraniaceae,Pelargonium,hantamianum,Accepted,,Indigenous; Endemic
Aizoaceae,Lampranthus,mutatus,Synonym,Ruschia mutata G.D.Rowley,Indigenous; Endemic
Asphodelaceae,Haworthia,limifolia,Synonym,Haworthiopsis limifolia (Marloth) G.D.Rowley var. limifolia,Indigenous
Hyacinthaceae,Albuca,juncifolia,Accepted,,Indigenous
Asteraceae,Helichrysum,argyrolepis,Accepted,,Indigenous
